phylo,fix
Squamellaria grayi Waisali Chomicki 47,Squamellaria grayi Waisali
Squamellaria grayi Taveuni Chomicki 53 M,Squamellaria grayi Taveuni
Hydnophytum moseleyanum Aru Island PNG W,Hydnophytum moseleyanum
Hydnophytum moseleyanum var agathifolium,Hydnophytum moseleyanum var. agathifolium
Hydnophytum sp JI Menzies 5937,Hydnophytum sp. JI Menzies 5937 (FHO)
Hydnophytum cf ramispinum Recende 13 BM,Hydnophytum cf. ramispinum Recende 13 (BM)
Hydnophytum petiolatum var contortum Jeb,Hydnophytum petiolatum var. contortum
Hydnophytum formicarum Mt Barissan Sumat,Hydnophytum formicarum Sumatra
Hydnophytum formicarum Thailand Wistuba,Hydnophytum formicarum Thailand
Hydnophytum puffii perangustum Wistuba,Hydnophytum puffii
Hydnophytum formicarum Sarawak Wistuba,Hydnophytum formicarum Sarawak
Hydnophytum formicarum Sulawesi 99057L W,Hydnophytum formicarum Sulawesi
Hydnophytum formicarum Malaysian region,Hydnophytum formicarum Malaysia
Hydnophytum formicarum flat tuber Philip,Hydnophytum formicarum Philippines
Myrmecodia tuberosa papuana US cult Wist,Myrmecodia tuberosa 'papuana'
Myrmecodia schlechteri schlechteri,Myrmecodia schlechteri subsp. schlechteri
Myrmecodia platytyrea antoinii Mossman Australia,Myrmecodia platytyrea subsp. antoinii
Myrmecodia platytyrea platytyrea Sepik River PNG,Myrmecodia platytyrea subsp. platytyrea
Myrmecodia albertisii subsp valida H Gay,Myrmecodia albertisii subsp. valida
Myrmecodia tuberosa dahlii JI Menzies 59,Myrmecodia tuberosa 'dahlii'
Myrmecodia tuberosa rumphii Nancy 973 17,Myrmecodia tuberosa 'rumphii'
Hydnophytum vitis idea LJ Brass 12046,Hydnophytum vitis-idaea
Hydnophytum sp cf radicans SE PNG Wistub,Hydnophytum cf. radicans
Squamellaria grayi Waisali Chomicki 47,Squamellaria grayi Vanua Levu